1,ter Stegan,tersteegan@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
2,Joao Cancelo,joaocancelo@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
3,Marcus Alonso,marcusalonso@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
4,Inigo Martinez,inigomartinez@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
5,Frenkie deJong,frenkiedejong@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
6,Ilkay Gundogen,ilkaygundogen@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
7,Pedri,pedri@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
8,Gavi,gavi@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
9,Robert Lewandowski,robertlewandowski@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
10,Joao Felix ,joaofelix@gmail.com, password, player,1, True, 2010-06-28,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
11,Xavi,xavi@gmail.com,password,team_manager,1, True, 2010-06-29,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
12,Team admin,barcelona@gmail.com,password,team_admin,1, True, 2010-06-30,https://unsplash.com/photos/white-and-blue-soccer-ball-on-green-grass-field-OgqWLzWRSaI
